epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,1344.26,1.34007,1.51187,1.57666,0.45964,0.38306,0.39462,0.24007,1.4682,1.41832,1.57449,0.000284,0.000284,0.000284
15,1437.98,1.29867,1.43535,1.5455,0.49875,0.38623,0.42209,0.26019,1.44508,1.34757,1.54941,0.000152,0.000152,0.000152
1,186.728,1.67516,2.25587,1.7222,0.21148,0.25362,0.14866,0.06203,2.09217,2.55163,2.1827,0.0804321,0.000399345,0.000399345
2,369.179,1.71293,2.24265,1.79453,0.27732,0.14024,0.12173,0.05722,1.96697,2.78029,2.08214,0.0608057,0.000772967,0.000772967
3,548.663,1.69012,2.17436,1.76496,0.26522,0.258,0.2023,0.09201,1.90896,2.29162,2.01469,0.0411529,0.00112019,0.00112019
4,725.908,1.66707,2.09509,1.74471,0.27431,0.23196,0.2026,0.09841,1.8566,2.25657,1.9945,0.0214737,0.00144101,0.00144101
5,904.322,1.6384,2.03574,1.71771,0.27801,0.26616,0.23107,0.10365,1.91099,2.10871,2.03634,0.00176816,0.00173543,0.00173543
6,1080.98,1.61429,2.00185,1.7148,0.32633,0.27265,0.25745,0.12222,1.85766,2.04242,1.95959,0.00167,0.00167,0.00167
7,1257.26,1.5769,1.90913,1.66617,0.27334,0.27599,0.22961,0.1235,1.70375,2.0501,1.81951,0.001604,0.001604,0.001604
8,1434.2,1.54598,1.85778,1.64903,0.36582,0.32493,0.30202,0.17367,1.5294,1.74485,1.69405,0.001538,0.001538,0.001538
9,1614.55,1.54162,1.781,1.62702,0.39523,0.31539,0.30247,0.17923,1.49907,1.7291,1.65529,0.001472,0.001472,0.001472
10,1792.65,1.50913,1.7654,1.61804,0.41045,0.34263,0.33389,0.18712,1.54375,1.62638,1.695,0.001406,0.001406,0.001406
