tiempo,x_real,y_real,x_observado,y_observado,x_estimado,y_estimado,vx_real,vy_real,vx_estimado,vy_estimado
0.0,5.0,0.0,2.8769438869243786,0.9385010216475094,2.870549099342662,0.9364149487470483,0.47727670432387015,1.5147727602260308,0.28421292351602856,0.09271439748877848
0.1,5.047727670432387,0.15147727602260308,4.416759686284348,-1.1342590586018206,4.180273130727734,-0.8101830249369159,0.4541137683477059,1.529082165225837,10.714271463626359,-14.200411038821827
0.2,5.090822753669541,0.3058164330451674,4.576750978879387,-1.3005223140465012,4.723852436192731,-1.5031456698784225,0.4071445228969184,1.5569862617357693,7.688470250521414,-10.03255296945104
0.30000000000000004,5.129156575011771,0.46287452836975695,3.9257406711793426,1.1865831512345348,4.42696060961239,0.005315791797549263,0.3589107638528155,1.5834352242860663,3.1978660735176616,0.5508331484867011
0.4,5.162604906440104,0.6225034779023807,4.920676338941091,0.2873092999136043,4.849515633193863,0.1944721182466473,0.309457920762255,1.6083783355831949,3.5376313073841574,0.9940952888682805
0.5,5.191048159164222,0.7845501954863959,5.7971244443860295,1.855550936624534,5.511507916341642,1.1044491350972938,0.2588333266846954,1.631766306272438,4.374378253305284,3.1945356583629394
0.6000000000000001,5.214371571777043,0.9488567391568683,8.043650423592839,1.6587131760171856,6.915757613980992,1.532279579551695,0.20708617304985744,1.6535513434511833,6.599068465831968,3.44391714408065
0.7000000000000001,5.232465393774193,1.1152604641766326,5.494332113021952,1.0060170951913234,6.711943868533508,1.515363326540582,0.15426746211958164,1.673687217748292,4.874911316428469,2.722674972815971
0.8,5.24522506420096,1.2835941827065267,5.6315506502851065,0.013403605603919289,6.608832387010919,1.1193014081343264,0.1004299570995526,1.6921293288874861,3.8340131913782267,1.5447884884049297
0.9,5.252551385194104,1.4536863299541298,5.140882511544853,-0.8185845070746673,6.354033894778187,0.5524979839912288,0.0456281299493666,1.7088347696542039,2.827188085547179,0.40689235009173785
1.0,5.254350690190833,1.6253611366373675,2.3761938672422707,0.9555887085368359,5.2832715073014,0.708313806936797,-0.010081893057778402,1.723762388186948,0.8946172506495222,0.5712760791154674
1.1,5.250535006582548,1.7984388075915194,5.210764193408723,3.083036999076728,5.325029772472328,1.4480245104468108,-0.06664238797199129,1.7368728485156815,0.8324071173267642,1.4614334277727004
1.2000000000000002,5.241022212596435,1.9727357063405038,5.331367527507974,2.2938763225358096,5.38716160287021,1.7862289088976742,-0.12399409194364885,1.748128689271713,0.8070733162580401,1.6919352956980134
1.3,5.225736188193818,2.148064545445862,8.920599356921748,0.27945637737788,6.3551866032605115,1.524715688645502,-0.18207626408139,1.7574943804952314,1.793434928886086,1.2131523081849578
1.4000000000000001,5.204606959780157,2.32423458243955,4.916065512608473,2.584005971216323,6.143536277192352,1.8726299141534624,-0.2408267483296278,1.7649363784685579,1.3886206398089194,1.447760904263452
1.5,5.177570838527893,2.5010518211395736,5.629891852028312,3.079027890732829,6.133680812823796,2.2593680165702943,-0.3001820383015419,1.7704231785052515,1.2445180622641214,1.682214434944954
1.6,5.144570552119848,2.6783192181406004,5.0925028975619835,1.3525330638389008,6.006686866398137,2.1956818828049105,-0.3600773440012395,1.7739253656271758,1.0155266057191759,1.4710163799353269
1.7000000000000002,5.105555369727645,2.8558368942650088,3.352538313298347,3.0864245531833006,5.543980840808309,2.495051810926443,-0.4204466603664292,1.7754156630638351,0.5307375253119395,1.6018393626499874
1.8,5.0604812200465625,3.0334023507533674,6.774715441819094,3.120715428422367,5.826545550925278,2.745943846998207,-0.4812228375607308,1.7748689785105443,0.7173763214240674,1.6756098097458199
1.9000000000000001,5.009310802215499,3.2108106899671176,6.13721035124566,1.496355243221183,5.942699683898641,2.6500570744639806,-0.5423376529424617,1.7722624480842253,0.7516736795409523,1.4721817643541146
2.0,4.95201368945807,3.3878548403702125,6.138561610022641,3.9245358808926376,6.039317953892577,2.997621958439547,-0.603721884634898,1.7675754779180641,0.7674439317189854,1.6194724514813386
2.1,4.888566425288519,3.5643257855507304,3.524485243096411,4.405502575103082,5.674827698734543,3.371698324570183,-0.6653053866207159,1.7607897833386676,0.45782105306943793,1.7683275546165946
2.2,4.818952612133927,3.740012797037946,6.923144078538076,5.364589661800862,5.917104921524089,3.8452765882040545,-0.7270171652815671,1.7518894255718642,0.5897350784829333,1.9675431636753566
2.3000000000000003,4.743162992232206,3.9147036706651033,2.640386398043784,5.495406748717458,5.4520785013012425,4.270340002246125,-0.7887854573018904,1.7408608459259423,0.2524665404570603,2.114492564745203
2.4000000000000004,4.661195520673549,4.088184966223134,5.541481161373954,2.021680914287498,5.487029443669729,4.109671320618197,-0.850537808854126,1.7276928974036743,0.25846690782393983,1.884404148351094
2.5,4.57305543046138,4.260242250145838,7.8587388691763485,2.8535046902731542,5.85505576344533,4.087393906381851,-0.9122011559810117,1.7123768736972522,0.46209852624006503,1.75900564730881
2.6,4.478755289477347,4.430660340962585,2.992950801781314,5.2032132417755745,5.491607644062273,4.39568908518596,-0.9737019060889374,1.6949065355228354,0.22705553952452565,1.8349676147138676
2.7,4.378315049243593,4.599223557250405,3.528868454839435,5.369902483618718,5.243896717626313,4.686881017065208,-1.0349660204648758,1.6752781342545786,0.0772221680230003,1.8946397561952737
2.8000000000000003,4.271762085384371,4.765715967813501,4.421239133015833,5.538287497272572,5.142127041366299,4.963627146950075,-1.0959190977279265,1.6534904328205169,0.01854304161309167,1.9414161925159987
