tiempo,posicion_real,posicion_observada,posicion_estimada,velocidad_real,velocidad_estimada,incertidumbre
0.0,0.0,0.9934283060224653,0.9895094566987054,5.007916927067832,0.09797128207961896,1.9960513288331636
0.1,0.5007916927067833,0.22426309036441394,0.3968352377540959,5.011670832341407,-4.190810415972913,1.7633363350475009
0.2,1.0023341664682814,2.297711242669666,1.7154209439800676,5.0129481601460455,5.4373301673305585,1.7309051450810298
0.30000000000000004,1.5033813247359924,4.549441037552043,3.7842135224545155,5.001795707411652,11.78051471690476,1.632031125342377
0.4,2.002693307950612,1.53438655850394,2.9602109671928347,4.978291339046184,5.2032317314346495,1.5284639014717742
0.5,2.499039592545229,2.030765678646868,2.7332989969337964,4.94254379331392,3.1820193416101477,1.4358508059631956
0.6000000000000001,2.991202066613396,6.149627697628179,4.474935516944118,4.8946924100464235,6.44993687152416,1.3556549390215389
0.7000000000000001,3.477978074554514,5.012847532860332,5.075631814256114,4.834906782365547,6.361650142735031,1.2863569394956627
0.8,3.9581834230865054,3.019234651216601,4.699857680965952,4.763386332788944,4.580265627376699,1.2260955714795034
0.9,4.430655341112303,5.515775428284232,5.28104392580754,4.6803598147776215,4.7743810849919175,1.1732451692192014
1.0,4.89425538604203,3.967420000417105,5.190274016100809,4.58608474097145,3.9637124519511944,1.1264926452946313
1.1,5.347872289306593,4.416412782166079,5.242366332794432,4.480846739541624,3.5150683109131453,1.084798667885851
1.2000000000000002,5.7904247339503545,6.274349277082423,5.780480837691978,4.364958840269018,3.7388623613379592,1.047341476950758
1.3,6.220864057360396,2.3943035680448004,5.188861715986289,4.238760692132781,2.6664077039954623,1.0134673214185892
1.4000000000000001,6.638176872376911,3.1883412073508453,4.908207542207272,4.1026177143647224,2.100247688939509,0.9826514649933842
1.5,7.041387600233341,5.916812541751395,5.300111021872088,3.9569201830915857,2.2763112389197744,0.9544686137020313
1.6,7.429560908995228,5.403898668326381,5.501046335314295,3.8020822558479317,2.252027063815132,0.9285707121770407
1.7000000000000002,7.801804051402927,8.430298716593475,6.27951671528042,3.6385409363980337,2.7267306128756132,0.9046702542143106
1.8,8.157269096274835,6.341220945232413,6.5111112404181055,3.4667549824540522,2.6933764606372375,0.8825276615079264
1.9000000000000001,8.495155047893737,5.670547645223154,6.5743004294562315,3.287203759020656,2.5345005740378084,0.8619416590799325
2.0,8.814709848078966,11.746007385922073,7.701004035905742,3.100386040232168,3.175021124206616,0.8427418678440644
2.1,9.115232255940171,8.6636796549671,8.12822872247496,2.9068187626769415,3.251805021971361,0.8247830494527311
2.2,9.396073600614354,9.531130009990202,8.629284635582929,2.7070357333252026,3.3694943396282477,0.8079405930541926
2.3000000000000003,9.656639402605212,6.807143030178298,8.62756260581657,2.5015862952895507,3.1523409943669813,0.7921069440009686
2.4000000000000004,9.896390859672264,8.807625410621899,8.922385084202354,2.2910339547532566,3.1397763012141335,0.7771887535470065
2.5,10.114846193555863,10.336691372975595,9.396550928414447,2.0759549724983284,3.23461001588347,0.7631045853660874
2.6,10.31158185417193,8.009594699327325,9.479623636199587,1.856936923553647,3.0975146201611383,0.7497830558405923
2.7,10.486233578266592,11.237629614957935,9.986122937955853,1.6345772285633675,3.205775327844782,0.7371613150737915
2.8000000000000003,10.638497299884603,9.437219920046994,10.192387354205266,1.4094816605464722,3.1449979341424075,0.7251837976585961
2.9000000000000004,10.768129910375887,10.184742410789333,10.465852984307753,1.1822628307797078,3.12388858184262,0.7138011886233243
3.0,10.874949866040545,9.671536641581751,10.641517765074047,0.9535386575884175,3.055745110075501,0.7029695622412035
3.1,10.95883764189357,14.663394010911446,11.392828806600509,0.7239308218725338,3.271244430039773,0.6926496606478134
3.2,11.019736030415052,10.992741580939184,11.635192289167572,0.4940632132280953,3.2314460530583204,0.6828062862535986
3.3000000000000003,11.05765028453919,8.942228426627388,11.616402149298631,0.2645603705481747,3.0753451262974107,0.6734077873382109
3.4000000000000004,11.072648104524687,12.717737928731065,12.011544817566238,0.036045921000900094,3.114273865087706,0.664425620383971
3.5,11.06485946873937,8.623172168797325,11.925134367482368,-0.1908589787136794,2.942028281411385,0.6558339759498687
3.6,11.03447630878195,11.452203498791462,12.138903609284247,-0.41553719493185426,2.9080632538876174,0.6476094574282261
3.7,10.981752029752998,7.062411781993447,11.880560860213627,-0.6373771595390298,2.681672426676112,0.6397308040288948
3.8000000000000003,10.907000876874145,8.250628779077283,11.759259403601366,-0.8557743985715316,2.5247723278392384,0.6321786509243836
3.9000000000000004,10.810597150038692,11.20431962177694,11.932903637433464,-1.0701330430866385,2.4937098159349262,0.6249353207567782
4.0,10.692974268256817,12.169907428247638,12.181093845974495,-1.2798673185246923,2.493254348474703,0.6179846417243673
4.1000000000000005,10.554623686333754,10.897360248713694,12.287192434933873,-1.4844030088403937,2.4391226178512966,0.6113117882864486
4.2,10.396093666488738,10.164797101712258,12.314642089118948,-1.683178891743884,2.358897292744395,0.6049031411902557
4.3,10.217987907984977,9.6157805168064,12.28750695680807,-1.875648141464188,2.2632258982035864,0.598746164066348
4.4,10.0209640381959,7.063920057461046,12.034991544490794,-2.061279695528828,2.0921543526425532,0.592829294282996
4.5,9.805731968879211,8.366043552089794,11.9099717816612,-2.2395595821434977,1.9747769759880325,0.5871418461155402
4.6000000000000005,9.573052121767201,8.651774579847626,11.81514728313531,-2.4099922048538325,1.8737961533437781,0.5816739245886615
4.7,9.323733527908445,11.437977980346275,11.955633234383564,-2.572101581278474,1.8578476536034405,0.5764163486000756
